Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Public Appeal to Reduce Electricity Usage,2011,7/14/2011,11:00 AM,7/14/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Suspected Physical Attack,2011,7/12/2011,8:20 PM,7/12/2011,9:30 PM,Gen On,California,WECC,UNK,UNK,"vandalism, physical"
Severe Weather,2011,7/11/2011,2:27 PM,7/12/2011,3:50 PM,American Electric Power (AEP),"Indiana, Michigan, Ohio",RFC,UNK,"120,000",severe weather
Vandalism,2011,7/11/2011,1:13 PM,7/11/2011,1:13 PM,Duke Energy,Southwest Ohio,RFC,0,0,vandalism
Severe Weather,2011,7/11/2011,9:00 AM,7/11/2011,10:25 AM,"Detroit Edison, Subsidiary of DTE Energy",Michigan,RFC,254,"103,000",severe weather
Severe Weather,2011,7/11/2011,9:00 AM,7/11/2011,9:00 AM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"500,000",severe weather
Severe Weather,2011,7/11/2011,11:15 AM,7/12/2011,8:15 AM,Consumers Energy,Western and Southern Lower Peninsula Michigan,RFC,UNK,"85,000",severe weather
Vandalism,2011,7/8/2011,10:00 AM,7/8/2011,10:00 AM,Minnesota Power,"Saginaw, Minnesota",MRO,0,0,vandalism
Suspected Cyber Attack,2011,7/8/2011,10:00 AM,7/11/2011,9:00 AM,PJM Interconnection,"PJM Corporate Office, Pennsylvania",RFC,UNK,UNK,"vandalism, cyber"
Vandalism,2011,7/5/2011,10:40 AM,7/5/2011,11:37 AM,PacifiCorp,West Valley Substation Utah,WECC,0,0,vandalism
Severe Weather,2011,7/4/2011,6:00 PM,7/4/2011,9:00 PM,Dominion Virginia Power,Virginia,SERC,150,"51,580",severe weather
Severe Weather,2011,7/2/2011,8:15 PM,7/6/2011,10:00 PM,"Detroit Edison, Subsidiary of DTE Energy","South East, Lower Peninsula, Michigan",RFC,UNK,"182,000",severe weather
Severe Weather,2011,7/1/2011,5:00 PM,7/3/2011,8:00 PM,Xcel Energy Northern States Power Company,Southwest and South Central Minnesota,MRO,UNK,"70,000",severe weather
Vandalism,2011,7/1/2011,8:00 AM,7/1/2011,8:01 AM,ISO New England,"CONVEX Local Control Center, Connecticut",NPCC,0,0,vandalism
Major System Interruption/Load Shed,2011,6/30/2011,2:11 PM,6/30/2011,11:25 PM,Salt River Project,"Phoenix, Arizona",WECC,"5,299","160,000",load shedding
Vandalism,2011,6/30/2011,10:31 PM,6/30/2011,10:31 PM,Tacoma Power (TPWR),"Olympic Pipeline Substation, Washington",WECC,0,0,vandalism
Severe Weather,2011,6/30/2011,10:30 PM,7/1/2011,5:00 PM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"121,000",severe weather
Public Appeal to Reduce Electricity Usage,2011,6/29/2011,11:30 AM,6/29/2011,6:04 PM,Southwestern Public Service,"Panhandle and Muleshoe, Texas",SPP,0,0,public appeal
Public Appeal to Reduce Electricity Usage,2011,6/27/2011,3:00 PM,6/27/2011,7:00 PM,ERCOT ISO,Texas,TRE,0,0,public appeal
Vandalism,2011,6/27/2011,6:55 PM,6/27/2011,6:55 PM,City of Tacoma (TPWR),"Olympic Pipeline Substation, Washington",WECC,UNK,UNK,vandalism
Severe Thunderstorms,2011,6/27/2011,12:00 AM,6/29/2011,1:00 AM,AMEREN,Illinois; Missouri,SERC,UNK,"80,000","severe weather, thunderstorm"
Severe Thunderstorms,2011,6/26/2011,6:00 PM,6/27/2011,1:00 PM,Southern Company,Alabama; Georgia,SERC,300,"90,160","severe weather, thunderstorm"
Public Appeal to Reduce Electricity Usage,2011,6/26/2011,4:46 PM,6/27/2011,7:59 AM,Sunflower Electric Power Corporation,Southwest Kansas,SPP,UNK,UNK,public appeal
Severe Thunderstorms,2011,6/24/2011,6:30 PM,6/25/2011,1:30 AM,Southern Company,North/North Central Alabama; Georgia,SERC,340,"102,275","severe weather, thunderstorm"
Vandalism,2011,6/23/2011,8:10 AM,6/23/2011,9:00 AM,ISO New England/Velco,"Highgate, Vermont",NPCC,0,0,vandalism
Vandalism,2011,6/22/2011,8:12 PM,6/22/2011,8:12 PM,Tacoma Power (TPWR),"Knoble Substation, Spanaway, Washington",WECC,0,0,vandalism
Severe Weather,2011,6/22/2011,9:46 AM,6/22/2011,9:46 AM,Tennessee Valley Authority (TVA),"Knoxville, Tennessee",SERC,UNK,"106,300",severe weather
Severe Thunderstorms,2011,6/22/2011,7:00 PM,6/23/2011,1:00 AM,Southern Company,Alabama; Georgia,SERC,316,"75,101","severe weather, thunderstorm"
Severe Weather,2011,6/21/2011,6:30 PM,6/22/2011,7:00 AM,American Electric Power (AEP),AEP Region,RFC,UNK,"56,000",severe weather
Severe Thunderstorms,2011,6/21/2011,9:45 PM,6/23/2011,2:00 AM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"300,000","severe weather, thunderstorm"
Vandalism,2011,6/20/2011,10:36 AM,6/20/2011,10:36 AM,Tacoma Power (TPWR),"Collins Substation, Washington",WECC,0,0,vandalism
Public Appeal to Reduce Electricity Usage,2011,6/18/2011,4:45 PM,6/20/2011,11:59 PM,West Memphis Utilities,"Eastern, Arkansas",SPP,UNK,UNK,public appeal
Severe Thunderstorms,2011,6/18/2011,5:00 PM,6/18/2011,9:33 PM,Duke Energy Carolinas,North Carolina; South Carolina,SERC,300,"70,000","severe weather, thunderstorm"
Severe Thunderstorms,2011,6/18/2011,3:30 PM,6/19/2011,3:42 PM,Southern Company,"Northern, Georgia",SERC,312,"93,828","severe weather, thunderstorm"
Severe Thunderstorms,2011,6/15/2011,7:15 PM,6/16/2011,6:00 AM,Southern Company,Georgia,SERC,563,"169,000","severe weather, thunderstorm"
Severe Thunderstorms,2011,6/15/2011,7:17 PM,6/16/2011,1:45 AM,Duke Energy,"Piedmont, North Carolina",SERC,300,"70,135","severe weather, thunderstorm"
Severe Thunderstorms,2011,6/12/2011,7:00 PM,6/12/2011,8:30 PM,Dominion Virginia Power,Virginia,RFC,250,"56,000","severe weather, thunderstorm"
Suspected Physical Attack,2011,6/9/2011,2:15 PM,6/9/2011,2:15 PM,Southern California Edison (SCE),"San Antonio Dam Area, Los Angeles County, California",WECC,0,0,"vandalism, physical"
Severe Thunderstorms,2011,6/9/2011,5:51 PM,6/10/2011,12:00 PM,ISO New England/Northeast Utilities,"Western, Massachusetts; Connecticut",NPCC,0,"100,000","severe weather, thunderstorm"
Severe Thunderstorms,2011,6/9/2011,4:30 AM,6/9/2011,12:00 PM,Exelon Corporation/ComEd,Illinois,RFC,UNK,"169,000","severe weather, thunderstorm"
Severe Weather,2011,6/7/2011,2:00 PM,6/8/2011,6:00 AM,American Electric Power,Ohio,RFC,UNK,"52,747",severe weather
Public Appeal to Reduce Electricity Usage,2011,6/6/2011,3:00 PM,6/8/2011,3:00 PM,West Memphis Utilities,"Eastern, Arkansas",SPP,UNK,"13,000",public appeal
Load Shed/ Automatic undervoltage relay action,2011,6/6/2011,12:13 AM,6/6/2011,3:15 AM,El Paso Electric Company,"El Paso County, Texas; Dona Ana County, New Mexico",SPP,450,"162,000",load shedding
Electrical System Separation (Islanding),2011,6/5/2011,8:02 PM,6/5/2011,8:55 PM,Pacific Gas and Electric,"Melones, California",WECC,10,"5,314",islanding
Severe Thunderstorms,2011,6/5/2011,5:30 AM,6/6/2011,1:30 AM,CenterPoint Energy,"Houston Metro-Area, Texas",TRE,473,"78,000","severe weather, thunderstorm"
Vandalism,2011,6/4/2011,1:17 AM,6/4/2011,3:25 AM,Pacific Gas and Electric,"Midway, California",WECC,UNK,420,vandalism
Severe Weather,2011,6/2/2011,11:45 PM,6/4/2011,4:00 PM,South Carolina Electric and Gas,"Greater Columbia, South Carolina",SERC,0,"50,465",severe weather
Severe Weather,2011,5/29/2011,6:30 PM,5/31/2011,10:00 PM,Consumers Energy,"Mid and Southern Lower Peninsula, Michigan",RFC,250,"113,000",severe weather
Severe Weather,2011,5/26/2011,7:56 PM,5/27/2011,6:00 PM,PPL Electric Utilities,Central Pennsylvania,RFC,150,"120,001",severe weather
Transmission Level Interruption,2011,5/26/2011,1:00 AM,5/26/2011,6:00 AM,Greenwood Utilities Commission,"Greenwood, Mississippi",SERC,30,"10,000",transmission interruption
Severe Weather,2011,5/26/2011,6:30 PM,5/28/2011,4:44 AM,Southern Company,"Southern Balancing Area, Georgia",SERC,729,"218,783",severe weather
Severe Weather,2011,5/25/2011,10:14 PM,5/28/2011,11:00 AM,Duke Energy Midwest,Central Indiana,RFC,200,"141,000",severe weather
Severe Weather,2011,5/24/2011,4:45 PM,5/26/2011,5:00 PM,Oklahoma Gas & Electric,Central Oklahoma,SPP,UNK,"54,000",severe weather
Severe Weather,2011,5/24/2011,4:35 PM,5/25/2011,12:40 PM,Dominion Virginia Power,Eastern Virginia,SERC,790,"175,000",severe weather
Physical Attack,2011,5/24/2011,9:00 AM,5/25/2011,9:10 AM,Edison Mission Generation (Fisk Station),"Chicago, Illinois",RFC,0,0,"vandalism, physical"
Severe Weather,2011,5/23/2011,4:45 PM,5/25/2011,11:59 PM,Duke Energy Midwest,"Central, Indiana",RFC,"1,024","215,387",severe weather
Severe Weather,2011,5/23/2011,12:30 PM,5/25/2011,12:30 PM,Ameren,"St. Louis County, Missouri",SERC,UNK,"70,000",severe weather
Severe Weather,2011,5/22/2011,5:09 PM,5/31/2011,12:01 PM,Empire District Electric,"Joplin, Sarcoxie, and Wentworth, Missouri",SPP,200,"20,000",severe weather
Physical Attack,2011,5/21/2011,5:00 PM,5/22/2011,6:34 PM,"Terra-Gen Dixie Valley, LLC","Dixie Valley Area, Nevada",WECC,56,UNK,"vandalism, physical"
Vandalism,2011,5/13/2011,6:00 AM,5/13/2011,6:00 AM,PacifiCorp,"Salt Lake, Utah",WECC,0,0,vandalism
Severe Weather,2011,5/11/2011,12:15 AM,5/11/2011,5:20 PM,Duke Energy Carolinas,"Charlotte, North Carolina",SERC,300,"71,000",severe weather
Vandalism,2011,5/11/2011,3:55 PM,5/12/2011,1:57 PM,Minnesota Power,"Colbyville, Haines Road and Arrowhead Substations, Minnesota",MRO,0,0,vandalism
Vandalism,2011,5/11/2011,1:35 PM,5/11/2011,1:35 PM,PacifiCorp,"Green River, Wyoming",WECC,0,0,vandalism
Vandalism,2011,5/11/2011,11:00 AM,5/11/2011,11:30 AM,Central Hudson Gas & Electric Corp.,"North Chelsea Substation, New York",NPCC,0,0,vandalism
Vandalism,2011,5/10/2011,1:45 PM,5/10/2011,3:00 PM,ISO New England,New Hampshire,NPCC,0,0,vandalism
Severe Weather,2011,5/10/2011,10:21 PM,5/11/2011,2:25 PM,American Electric Power,"Kentucky, West Virginia",RFC,UNK,"58,000",severe weather
Generation Inadequacy; Load Shed; Electrical System Separation (Islanding),2011,5/10/2011,3:25 AM,5/11/2011,2:10 PM,Midwest Independent System Operator (MISO),"Upper Peninsula, Michigan",RFC,585,"78,213","load shedding, islanding"
Vandalism,2011,5/9/2011,1:11 PM,5/9/2011,1:11 PM,Public Service of New Hampshire,"Milton, New Hampshire",NPCC,0,0,vandalism
Suspected Physical Attack,2011,5/9/2011,4:08 AM,5/9/2011,6:40 AM,"Exelon Generation Company, LLC","Holtwood, Pennsylvania",RFC,630,UNK,"vandalism, physical"
Vandalism,2011,5/8/2011,7:35 PM,5/8/2011,7:35 PM,"Castleton Power, LLC",New York,NPCC,UNK,0,vandalism
Vandalism,2011,5/6/2011,6:56 AM,5/6/2011,10:30 AM,PacifiCorp,"Alderwood Substation, Portland, Oregon",WECC,0,0,vandalism
Vandalism,2011,5/5/2011,9:15 AM,5/5/2011,9:15 AM,ISO New England,New Hampshire,NPCC,0,0,vandalism
Suspected Sabotage,2011,5/4/2011,12:20 PM,5/4/2011,3:40 PM,"ITC Holdings, Inc.",Michigan,RFC,0,0,vandalism
Suspected Physical Attack,2011,5/4/2011,1:08 PM,5/4/2011,1:25 PM,FirstEnergy Generation,Maryland,RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2011,5/3/2011,12:00 PM,5/5/2011,12:00 PM,New York Power Authority,"St. Lawrence Power Dam, New York",NPCC,0,0,"vandalism, physical"
Severe Weather,2011,5/2/2011,5:06 PM,5/2/2011,8:00 PM,Hawaiian Electric Company,Hawaii,PR,220,"62,000",severe weather
Suspected Physical Attack,2011,5/2/2011,2:00 PM,5/2/2011,2:00 PM,The United Illuminating Company,"West River Substation, New Haven, Connecticut",NPCC,0,0,"vandalism, physical"
Vandalism,2011,5/2/2011,8:52 AM,5/2/2011,10:46 AM,PacifiCorp,"N. Ogden Substation, Ogden, Utah",WECC,0,0,vandalism
Severe Weather,2011,4/28/2011,5:00 AM,4/30/2011,6:30 PM,FirstEnergy Service Company,"Cleveland area, Ohio",RFC,UNK,"86,000",severe weather
Equipment Malfunction,2011,4/28/2011,4:09 PM,4/28/2011,4:10 PM,"Mesquite Power, LLC","Phoenix, Arizona",WECC,960,UNK,equipment failure
Severe Weather,2011,4/27/2011,10:00 AM,4/29/2011,4:29 PM,Tennessee Valley Authority,"Alabama, Georgia, Mississippi, Tennessee",SERC,UNK,"612,000",severe weather
Severe Weather,2011,4/27/2011,8:00 AM,5/2/2011,4:03 PM,Southern Company,"Alabama, Florida, Georgia, Mississippi",SERC,"1,422","426,640",severe weather
Severe Weather,2011,4/27/2011,10:00 PM,4/28/2011,10:00 AM,American Electric Power,"Ohio, Tennessee, Virginia",SERC,0,"69,000",severe weather
Severe Weather,2011,4/26/2011,6:14 PM,4/28/2011,5:00 PM,West Memphis Utilities,Eastern Arkansas,SPP,50,"13,000",severe weather
Vandalism,2011,4/26/2011,1:04 PM,4/26/2011,2:00 PM,PacifiCorp,"Salt Lake City, Utah",WECC,0,0,vandalism
Severe Weather,2011,4/26/2011,5:49 AM,4/27/2011,9:59 AM,Entergy Corporation,Southern Louisiana,SPP,120,UNK,severe weather
Severe Weather,2011,4/26/2011,9:51 AM,4/28/2011,9:51 AM,Tennessee Valley Authority,"Alabama, Georgia, Mississippi, Tennessee",SERC,UNK,"55,000",severe weather
Severe Weather,2011,4/25/2011,5:30 PM,4/27/2011,6:00 PM,Entergy Corporation,"Arkansas, Louisiana, Mississippi",SPP,UNK,"141,700",severe weather
Equipment Malfunction,2011,4/25/2011,4:33 PM,4/25/2011,5:19 PM,Tennessee Valley Authority,Northeast Tennessee,SERC,140,UNK,equipment failure
Severe Weather,2011,4/22/2011,9:00 PM,4/22/2011,11:00 PM,Ameren,"Metro St. Louis area, Missouri",SERC,0,"55,000",severe weather
Suspicious Activity,2011,4/21/2011,7:00 PM,4/29/2011,7:05 PM,ITC Holdings,"Trenton, Michigan",RFC,UNK,UNK,vandalism
Vandalism,2011,4/21/2011,7:15 AM,4/21/2011,4:50 PM,PacifiCorp,"Oquirrh Substation, Salt Lake City, Utah",WECC,0,0,vandalism
Severe Weather - High Winds,2011,4/20/2011,2:00 AM,4/21/2011,12:00 PM,Duke Energy Midwest,"Indiana, Kentucky, Ohio",RFC,UNK,"165,711","severe weather, wind"
Equipment Malfunction,2011,4/20/2011,8:07 AM,4/20/2011,8:14 AM,City of Ruston & Constellation Energy,"Ruston, Louisiana",SERC,33,"11,000",equipment failure
Severe Weather,2011,4/19/2011,8:00 PM,4/19/2011,10:00 PM,Ameren Illinois,Illinois,SERC,UNK,"80,000",severe weather
Severe Weather,2011,4/19/2011,11:13 PM,4/20/2011,7:14 PM,Constellation Energy Control and Dispatch,"Osceola, Arkansas",SERC,22,UNK,severe weather
Severe Weather,2011,4/19/2011,11:02 PM,4/21/2011,5:32 PM,Tennessee Valley Authority,"Memphis, Tennessee",SERC,300,"105,000",severe weather
Vandalism,2011,4/19/2011,2:01 PM,4/19/2011,4:04 PM,Tacoma Power Water Rail (TPWR),"Graham, Washington",WECC,0,0,vandalism
Severe Weather,2011,4/19/2011,10:44 PM,4/20/2011,2:00 AM,Memphis Light Gas and Water Division,"Memphis, Tennessee",SERC,100,"64,000",severe weather
Severe Weather,2011,4/16/2011,2:16 PM,4/17/2011,4:30 PM,Progress Energy Carolinas Inc,Central and Eastern North Carolina,SERC,UNK,"220,000",severe weather
Suspicious Activity,2011,4/11/2011,5:40 PM,4/11/2011,5:51 PM,PacifiCorp,"Salt Lake City, Utah",WECC,0,0,vandalism
Vandalism,2011,4/6/2011,10:50 AM,4/6/2011,10:50 AM,Delmarva Power & Light Company,"Felton, Delaware",RFC,0,0,vandalism
Severe Weather,2011,4/5/2011,2:00 AM,4/7/2011,11:00 PM,Duke Energy Carolinas,"North Carolina, South Carolina",SERC,"1,200","256,000",severe weather
Severe Weather,2011,4/4/2011,9:00 PM,4/5/2011,11:30 PM,Southern Company,"Alabama, Florida, Georgia, Mississippi",SERC,674,"303,434",severe weather
Severe Weather,2011,4/4/2011,7:00 PM,4/5/2011,8:00 PM,Entergy Corporation,"Southeast Arkansas, Southeast Louisiana, Western Mississippi, Eastern Texas",SERC,UNK,"74,645",severe weather
Severe Weather,2011,4/4/2011,7:00 PM,4/5/2011,12:00 PM,American Electric Power (AEP),"Kentucky, West Virginia",RFC,UNK,"52,920",severe weather
Severe Weather,2011,4/4/2011,2:00 PM,4/8/2011,12:01 AM,Tennessee Valley Authority,"Davidson County, Tennessee",SERC,300,"73,000",severe weather
Severe Weather,2011,4/4/2011,11:47 AM,4/8/2011,12:01 AM,Tennessee Valley Authority,"Memphis, Tennessee",SERC,359,"63,000",severe weather
Severe Weather,2011,4/4/2011,1:00 PM,4/5/2011,12:00 AM,Memphis Light Gas and Water Division,"Shelby County, Tennessee",SERC,300,"63,000",severe weather
Suspected Cyber Attack,2011,4/3/2011,8:23 PM,4/5/2011,3:00 PM,Entergy Corporation,Unknown,SERC,0,0,"vandalism, cyber"
Severe Weather,2011,3/31/2011,2:30 PM,4/1/2011,11:59 PM,Progress Energy Florida (PEF),Central and Western Florida,FRCC,UNK,"50,000",severe weather
Severe Weather,2011,3/31/2011,11:30 AM,3/31/2011,8:30 PM,Tampa Electric Company,"Greater Tampa Bay, Florida",FRCC,206,"87,000",severe weather
Transmission Level Outage,2011,3/27/2011,1:27 PM,3/27/2011,5:00 PM,Pacific Gas and Electric,"Sonoma and Central Valley, California",WECC,295,"165,000",transmission interruption
Major Storm,2011,3/23/2011,6:30 PM,3/24/2011,4:55 AM,American Electric Power - AEP,"Indiana. Kentucky, Michigan, Ohio, Tennessee, Virginia, West Virginia",RFC,UNK,"60,596","severe weather, storm"
Major Storm,2011,3/21/2011,12:35 PM,3/21/2011,2:45 PM,Southern California Edison Company (SCE),Southern California,WECC,150,"54,332","severe weather, storm"
Major Storm,2011,3/20/2011,9:44 AM,3/21/2011,10:00 AM,Los Angeles Department of Water and Power,"Los Angeles, California",WECC,UNK,"79,000","severe weather, storm"
Major Storm,2011,3/19/2011,11:56 PM,3/24/2011,7:10 PM,Pacific Gas and Electric,Northern and Central California,WECC,91,"128,000","severe weather, storm"
Severe Weather,2011,3/13/2011,2:20 PM,3/14/2011,3:46 PM,PacifiCorp,Oregon,WECC,UNK,"9,000",severe weather
Generation Inadequacy/Load Shed,2011,3/11/2011,7:02 AM,3/11/2011,9:15 AM,Pacific Gas and Electric,"Humboldt and Eureka, California",WECC,15,"6,800",load shedding
Fuel Supply Deficiency (Coal),2011,3/8/2011,8:00 AM,3/18/2001,9:00 AM,AES Somerset,Western New York,NPCC,676,UNK,"fuel supply emergency, coal"
Vandalism,2011,3/6/2011,2:54 AM,3/8/2011,8:00 AM,PacifiCorp,"Salt Lake City Region, Utah",WECC,UNK,0,vandalism
Fuel Supply Deficiency (Coal),2011,3/1/2011,8:00 AM,3/5/2011,9:30 AM,AES Somerset,Western New York,NPCC,675,UNK,"fuel supply emergency, coal"
Severe Weather,2011,2/25/2011,3:23 PM,2/27/2011,6:00 PM,Baltimore Gas & Electric,Maryland,RFC,UNK,93000,severe weather
Severe Weather,2011,2/25/2011,3:20 PM,2/25/2011,6:00 PM,Dominion - Virginia Power,Virginia,SERC,UNK,50000,severe weather
Winter Storm,2011,2/25/2011,8:00 AM,2/28/2011,5:30 PM,Pacific Gas and Electric,Northern and Central California,WECC,91,"80,000","severe weather, winter storm"
Vandalism,2011,2/25/2011,10:30 AM,2/25/2011,10:45 AM,PacifiCorp,"Salt Lake City, Utah",WECC,0,0,vandalism
Electrical System Separation (Islanding),2011,2/24/2011,4:51 PM,2/24/2011,4:54 PM,American Electric Power (CSWS-SPP),Arkansas,SPP,4,UNK,islanding
Winter Storm,2011,2/20/2011,4:00 PM,2/23/2011,4:00 PM,Consumers Energy,"Southern Lower Peninsula, Michigan",RFC,262,"160,000","severe weather, winter storm"
Vandalism,2011,2/19/2011,4:34 PM,2/19/2011,4:34 PM,Delmarva Power & Light Company,"Harrington, Delaware",RFC,0,0,vandalism
Major Storm,2011,2/19/2011,12:30 PM,2/20/2011,4:00 AM,Exelon Corporation/PECO,"Philadelphia area, Pennsylvania",RFC,UNK,118000,"severe weather, storm"
Suspected Cyber Attack,2011,2/17/2011,1:00 PM,2/23/2011,4:53 PM,City of Roseville (Roseville Electric),"Roseville, California",WECC,0,0,"vandalism, cyber"
Major Storm,2011,2/17/2011,1:25 AM,2/19/2011,10:13 AM,Pacific Gas and Electric,Northern and Central California,WECC,91,"80,000","severe weather, storm"
Vandalism,2011,2/10/2011,1:00 PM,2/10/2011,1:00 PM,Tacoma Power - TPWR,"LaGrande, Washington",WECC,0,0,vandalism
Vandalism,2011,2/9/2011,2:54 PM,2/9/2011,5:00 PM,Tacoma Power - TPWR,"University Place, Washington",WECC,0,0,vandalism
Winter Storm,2011,2/9/2011,3:45 AM,2/9/2011,9:12 AM,CenterPoint Energy,"Western Houston, Texas",TRE,399,"60,000","severe weather, winter storm"
Generation Inadequacy/Load Shed,2011,2/3/2011,10:04 PM,2/4/2011,12:32 PM,ERCOT ISO,Texas,TRE,400,"86,013",load shedding
Winter Storm,2011,2/2/2011,3:00 AM,2/4/2011,11:59 PM,Exelon Corporation/PECO,"Philadelphia area, Pennsylvania",RFC,UNK,"213,000","severe weather, winter storm"
Generation Inadequacy/Load Shed,2011,2/2/2011,7:24 AM,2/2/2011,10:23 PM,El Paso Electric Company,"Dona Ana and El Paso Counties, Texas and Hudspeth County, New Mexico",WECC,280,"178,000",load shedding
Fuel Supply Deficiency (Natural Gas),2011,2/2/2011,5:00 PM,2/3/2011,10:00 PM,Southwestern Public Service,"Texas Panhandle, Southeastern New Mexico",SPP,UNK,UNK,"fuel supply emergency, natural gas"
Generation Inadequacy/Load Shed,2011,2/2/2011,5:43 AM,2/3/2011,10:00 AM,ERCOT ISO,Texas,TRE,"4,000","1,069,730",load shedding
Generation Inadequacy/Load Shed,2011,2/2/2011,6:22 AM,2/2/2011,9:57 AM,Salt River Project,Central Arizona,WECC,"3,963","69,000",load shedding
Winter Storm,2011,2/1/2011,9:00 PM,2/2/2011,2:00 PM,Exelon Corp/ComEd - Commonwealth Edison,Northern Illinois,RFC,UNK,"190,000","severe weather, winter storm"
Winter Storm,2011,2/1/2011,3:00 PM,2/3/2011,12:00 PM,American Electric Power - Ohio,"Indiana, Ohio",RFC,UNK,"158,013","severe weather, winter storm"
Ice Storm,2011,1/31/2011,10:00 PM,2/3/2011,12:00 PM,Duke Energy Midwest,Southwestern Ohio and Indiana,RFC,996,"272,880","severe weather, winter storm"
Vandalism,2011,1/27/2011,9:30 AM,1/27/2011,9:30 AM,Delmarva Power & Light Company,"Hockessin, Delaware",RFC,0,0,vandalism
Winter Storm,2011,1/26/2011,7:43 PM,1/27/2011,6:18 PM,Dominion - Virginia Power,Northern Virginia,SERC,600,"150,084","severe weather, winter storm"
Suspected Telecommunications Attack,2011,1/26/2011,9:25 AM,1/27/2011,5:00 PM,NV Energy,"Carson City, Nevada",WECC,0,0,"vandalism, cyber"
Vandalism,2011,1/26/2011,9:33 AM,1/27/2011,3:03 PM,ITC Transmission,Michigan,RFC,0,0,vandalism
Vandalism,2011,1/25/2011,3:23 AM,1/25/2011,11:00 AM,Atlantic City Electric,"Newark, Delaware",RFC,0,0,vandalism
Suspicious Activity,2011,1/24/2011,1:20 PM,1/24/2011,1:30 PM,El Paso Electric Company,"Newman Power Plant, Texas",WECC,0,0,vandalism
Vandalism,2011,1/23/2011,7:00 AM,1/23/2011,1:00 PM,PacifiCorp,"Franklin County, Idaho",WECC,0,0,vandalism
Vandalism,2011,1/18/2011,2:00 PM,1/18/2011,2:00 PM,National Grid,"Whitman, Auburn St Substation, Massachusetts",NPCC,0,0,vandalism
Firm System Load Shed,2011,1/13/2011,7:21 AM,1/13/2011,8:13 AM,JEA,North Florida,FRCC,150,"20,900",load shedding
Electrical Fault at Generator,2011,1/11/2011,11:08 PM,1/11/2011,11:08 PM,New Athens Generating Co. LLC,"Athens, New York",NPCC,0,0,equipment failure
Severe Weather,2010,12/12/2010,4:30 PM,12/15/2010,2:00 PM,Detroit Edison,Southeastern Michigan,RFC,210,"60,175",severe weather
Electrical System Separation - Islanding,2010,12/3/2010,9:32 PM,12/4/2010,2:00 AM,Pacific Gas and Electric,California,WECC,22,"7,077",islanding
Electrical System Separation - Islanding,2010,11/23/2010,2:01 PM,11/23/2010,6:12 PM,Pacific Gas and Electric,Northern California,WECC,22,"7,077",islanding
Winter Storm,2010,11/22/2010,11:00 PM,11/24/2010,8:00 PM,Puget Sound Energy,"Puget Sound Region, Washington",WECC,420,"123,535","severe weather, winter storm"
High Winds,2010,11/15/2010,11:00 PM,11/16/2010,2:14 AM,Puget Sound Energy,Puget Sound Region,WECC,391,"149,256","severe weather, wind"
Electrical System Separation - Islanding,2010,11/6/2010,3:53 PM,11/6/2010,6:08 PM,Pacific Gas and Electric,Northern California,WECC,20,4,islanding
Electrical System Separation-Islanding,2010,10/27/2010,5:16 PM,10/27/2010,5:27 PM,Pacific Gas and Electric,Northern California,WECC,16,"2,674",islanding
Thunderstorms,2010,9/22/2010,5:38 PM,9/24/2010,11:30 PM,Allegheny Power,Western Pennsylvania,RFC,389,"82,861","severe weather, thunderstorm"
Thunderstorms,2010,9/22/2010,4:08 PM,9/26/2010,12:00 AM,Duquesne Light Company,"City of Pittsburgh, Pennsylvania",RFC,156,"52,000","severe weather, thunderstorm"
Severe Weather,2010,8/23/2010,5:50 PM,8/24/2010,9:30 AM,CenterPoint Energy,"Houston, Texas",TRE,746,"81,586",severe weather
Severe Weather,2010,8/19/2010,6:00 PM,8/23/2010,3:30 PM,Detroit Edison,Southeastern Michigan,RFC,340,"80,000",severe weather
Made Public Appeals,2010,8/12/2010,3:42 PM,8/12/2010,10:10 PM,Wisconsin Public Service,"City of Oshkosh, Wisconsin",MRO,30,"7,600",public appeal
Thunderstorms,2010,8/4/2010,4:45 PM,8/7/2010,12:00 AM,Allegheny Power,"Western Pennsylvania, Northwestern and Central West Virginia",RFC,60,"11,186","severe weather, thunderstorm"
Severe Weather,2010,7/25/2010,4:11 PM,7/25/2010,8:06 PM,Dominion - Virginia Power,Northern Virginia,SERC,900-1000,"81,000",severe weather
Severe Weather,2010,7/25/2010,3:20 PM,7/27/2010,6:00 PM,Baltimore Gas and Electric,Central Maryland,RFC,480,"124,000",severe weather
Severe Weather,2010,7/23/2010,7:30 PM,7/26/2010,6:30 PM,Detroit Edison,Southeastern Michigan,RFC,400,"82,000",severe weather
Severe Weather,2010,7/15/2010,7:00 PM,7/19/2010,11:30 PM,Detroit Edison,Southeastern Michigan,RFC,540,"127,534",severe weather
Made Public Appeal/Transmission Equipment Failure,2010,6/22/2010,3:34 PM,6/22/2010,7:00 PM,Entergy,West/Central Arkansas,SERC,84,"25,159","public appeal, equipment failure"
